antenna,channel,eventNum,format,idHex,peakRssi,phase,reads,timestamp,type,timestampConverted
1,866.9,1951,epc,e28069950000400f97d29650,-69,-122.42988586425781,1,2026-03-31T10:02:59.040000+00:00,CUSTOM,1774951379040
1,866.9,1952,epc,e28069950000400f97d36651,-67,-44.111454010009766,1,2026-03-31T10:02:59.051000+00:00,CUSTOM,1774951379051
1,866.9,1953,epc,e28069950000500f97d8964f,-61,80.6311264038086,1,2026-03-31T10:02:59.051000+00:00,CUSTOM,1774951379051
1,866.9,1954,epc,ad721205147bc5b86000001b,-67,32.3776969909668,1,2026-03-31T10:02:59.061000+00:00,CUSTOM,1774951379061
1,866.9,1955,epc,e28069950000400f97d2c655,-66,173.96282958984375,1,2026-03-31T10:02:59.061000+00:00,CUSTOM,1774951379061
1,866.9,1956,epc,e28069950000400f97d2f644,-59,130.25238037109375,1,2026-03-31T10:02:59.071000+00:00,CUSTOM,1774951379071
1,866.9,1957,epc,303800000222a00000000027,-60,-33.71807098388672,1,2026-03-31T10:02:59.071000+00:00,CUSTOM,1774951379071
1,866.9,1958,epc,e28069950000500f97d74a44,-60,-96.7046127319336,1,2026-03-31T10:02:59.081000+00:00,CUSTOM,1774951379081
1,866.9,1959,epc,e28069950000500f97d57a52,-62,-169.6835174560547,1,2026-03-31T10:02:59.081000+00:00,CUSTOM,1774951379081
1,866.9,1960,epc,e28069950000500f97d26250,-65,-22.25897979736328,1,2026-03-31T10:02:59.082000+00:00,CUSTOM,1774951379082
1,866.9,1961,epc,e28011c1a5000062f796d1aa,-67,156.33473205566406,1,2026-03-31T10:02:59.091000+00:00,CUSTOM,1774951379091
2,866.9,1962,epc,e2801191a5030069565f2c80,-70,120.6555404663086,1,2026-03-31T10:02:59.101000+00:00,CUSTOM,1774951379101
2,866.9,1963,epc,e28069950000500f97d6fa53,-68,-72.8690414428711,1,2026-03-31T10:02:59.111000+00:00,CUSTOM,1774951379111
2,866.9,1964,epc,e28011c1a5000062f795291c,-71,163.72325134277344,1,2026-03-31T10:02:59.132000+00:00,CUSTOM,1774951379132
2,866.9,1965,epc,e28011c1a5000062f79421ac,-71,-54.30707550048828,1,2026-03-31T10:02:59.142000+00:00,CUSTOM,1774951379142
2,866.9,1966,epc,303800000666e10000000055,-57,118.17255401611328,1,2026-03-31T10:02:59.142000+00:00,CUSTOM,1774951379142
3,866.9,1967,epc,e28011b0a5050077ab398299,-30,149.4021453857422,1,2026-03-31T10:02:59.183000+00:00,CUSTOM,1774951379183
1,866.9,1968,epc,e28069950000500f97d85e44,-57,-94.96871948242188,1,2026-03-31T10:02:59.265000+00:00,CUSTOM,1774951379265
1,866.9,1969,epc,e28011c1a50000703f054ad8,-63,-25.379192352294922,1,2026-03-31T10:02:59.327000+00:00,CUSTOM,1774951379327
1,866.9,1970,epc,e28069950000400f97d6ba55,-58,-114.21186065673828,1,2026-03-31T10:02:59.337000+00:00,CUSTOM,1774951379337
1,866.9,1971,epc,e28011b0a5050077ab397ab9,-44,-51.36265182495117,1,2026-03-31T10:02:59.347000+00:00,CUSTOM,1774951379347
1,866.9,1972,epc,e28069950000400f97d38650,-63,140.82156372070312,1,2026-03-31T10:02:59.357000+00:00,CUSTOM,1774951379357
1,866.9,1973,epc,e28069950000500f97d83a52,-54,139.31639099121094,1,2026-03-31T10:02:59.398000+00:00,CUSTOM,1774951379398
2,866.9,1974,epc,e28011c1a5000062f795291c,-70,148.45179748535156,1,2026-03-31T10:02:59.408000+00:00,CUSTOM,1774951379408
2,866.9,1975,epc,303800000444a10000000008,-59,119.67772674560547,1,2026-03-31T10:02:59.418000+00:00,CUSTOM,1774951379418
2,866.9,1976,epc,e28069950000500f97d7a244,-67,47.54478454589844,1,2026-03-31T10:02:59.419000+00:00,CUSTOM,1774951379419
2,866.9,1977,epc,e28069950000500f97d86a51,-73,63.14584732055664,1,2026-03-31T10:02:59.429000+00:00,CUSTOM,1774951379429
2,866.9,1978,epc,e28011b0a5050077ab398239,-66,-122.86385345458984,1,2026-03-31T10:02:59.439000+00:00,CUSTOM,1774951379439
2,866.9,1979,epc,e28011b0a5050077ab39c7e9,-73,-176.65455627441406,1,2026-03-31T10:02:59.439000+00:00,CUSTOM,1774951379439
2,866.9,1980,epc,e28011b0a5050077ab398299,-70,-171.45237731933594,1,2026-03-31T10:02:59.449000+00:00,CUSTOM,1774951379449
2,866.9,1981,epc,e28011b0a5050077ab372df7,-67,-14.205756187438965,1,2026-03-31T10:02:59.449000+00:00,CUSTOM,1774951379449
2,866.9,1982,epc,e28011b0a5050077ab3a9356,-70,-163.67930603027344,1,2026-03-31T10:02:59.449000+00:00,CUSTOM,1774951379449
2,866.9,1983,epc,e28011c1a5000062f794a5ec,-65,133.18582153320312,1,2026-03-31T10:02:59.459000+00:00,CUSTOM,1774951379459
2,866.9,1984,epc,e28069950000400f97d52e52,-68,-84.99282836914062,1,2026-03-31T10:02:59.460000+00:00,CUSTOM,1774951379460
2,866.9,1985,epc,e28011b0a5050077ab3a2d36,-66,-75.912353515625,1,2026-03-31T10:02:59.469000+00:00,CUSTOM,1774951379469
2,866.9,1986,epc,e28011c1a50000703f052e88,-69,-15.029755592346191,1,2026-03-31T10:02:59.469000+00:00,CUSTOM,1774951379469
2,866.9,1987,epc,e28011c1a5000062f794a53c,-65,143.02438354492188,1,2026-03-31T10:02:59.479000+00:00,CUSTOM,1774951379479
2,866.9,1988,epc,e2801191a5030069565f3190,-66,78.30744171142578,1,2026-03-31T10:02:59.490000+00:00,CUSTOM,1774951379490
2,866.9,1989,epc,e2806890000000001829a9f8,-66,-110.00396728515625,1,2026-03-31T10:02:59.520000+00:00,CUSTOM,1774951379520
2,866.9,1990,epc,e28011b0a5050077ab37d9a5,-75,-98.36359405517578,1,2026-03-31T10:02:59.521000+00:00,CUSTOM,1774951379521
2,866.9,1991,epc,303800000666e10000000055,-57,118.18903350830078,1,2026-03-31T10:02:59.531000+00:00,CUSTOM,1774951379531
